experiment,level,capability,seed,half,seeds_in_cell,max_attempts,completed_before_caught,caught_at_attempt,detected,flags
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-0,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-3,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-4,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-7,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-8,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-12,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-13,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-16,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-17,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-21,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-22,report,12,40,0,1,1,I1 I7
E1,0,A mock-location app from the app store.,vigil-2026-e1-0-25,report,12,40,0,1,1,I1 I7
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-0,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-3,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-4,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-7,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-8,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-10,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-13,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-14,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-17,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-18,report,12,40,0,1,1,I1 I8
E1,1,"A rooted handset, so the OS stops reporting the mock provider.",vigil-2026-e1-1-20,report,12,40,0,1,1,I1 I8
