experiment,scenario,label,seed,half,seeds_in_cell,detected,detected_at_leg,total_legs,flags
E2,S1,GPS spoofing,vigil-2026-e2-S1-1,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-2,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-3,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-6,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-7,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-11,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-12,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-15,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-16,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-18,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-19,report,12,1,6,6,I1 I7
E2,S1,GPS spoofing,vigil-2026-e2-S1-20,report,12,1,6,6,I1 I7
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-0,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-3,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-4,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-7,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-8,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-9,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-10,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-11,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-15,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-16,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-19,report,12,1,8,40,P2
E2,S2,Batch scanning a condo tower,vigil-2026-e2-S2-22,report,12,1,8,40,P2
E2,S3,Event ID reuse,vigil-2026-e2-S3-0,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-3,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-4,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-7,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-8,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-9,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-10,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-11,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-14,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-15,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-16,report,12,1,7,6,H4
E2,S3,Event ID reuse,vigil-2026-e2-S3-18,report,12,1,7,6,H4
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-0,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-1,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-4,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-5,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-8,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-9,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-10,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-11,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-14,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-15,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-18,report,12,1,6,6,H2
E2,S4,Out-of-scope scan,vigil-2026-e2-S4-19,report,12,1,6,6,H2
E2,S5,Clock tampering,vigil-2026-e2-S5-0,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-1,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-4,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-7,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-8,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-9,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-10,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-13,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-14,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-17,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-21,report,12,1,6,6,I4
E2,S5,Clock tampering,vigil-2026-e2-S5-22,report,12,1,6,6,I4
E2,recipient_channel_substitution,OTP sent to a different recipient channel,vigil-2026-e2-recipient_channel_substitution-3,report,12,1,6,6,I15
