experiment,noise_level,noise_name,scenario,seed,half,seeds_in_cell,leg,decision,abort_code,flags,episodes,missed_leg
E3,1,good,S0,vigil-2026-e3-S0-67,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I10,address_correction,
E3,1,good,S0,vigil-2026-e3-S0-219,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I10,address_correction,
E3,1,good,S6,vigil-2026-e3-S6-111,report,120,urn:epcglobal:cbv:bizstep:arriving,freeze,H1,H1,missed_scan,linehaul_departure
E3,2,urban,S0,vigil-2026-e3-S0-12,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-13,report,120,urn:epcglobal:cbv:bizstep:storing,flag,,I4,missed_scan,linehaul_departure
E3,2,urban,S0,vigil-2026-e3-S0-13,report,120,urn:epcglobal:cbv:bizstep:arriving,freeze,H1,H1,missed_scan,linehaul_departure
E3,2,urban,S0,vigil-2026-e3-S0-22,report,120,urn:epcglobal:cbv:bizstep:departing,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-42,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-45,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-55,report,120,urn:epcglobal:cbv:bizstep:receiving,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-66,report,120,urn:epcglobal:cbv:bizstep:storing,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-67,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I10,address_correction,
E3,2,urban,S0,vigil-2026-e3-S0-97,report,120,urn:epcglobal:cbv:bizstep:storing,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-113,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-131,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I1 I11,address_correction,
E3,2,urban,S0,vigil-2026-e3-S0-148,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I4,missed_scan,out_for_delivery
E3,2,urban,S0,vigil-2026-e3-S0-167,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-170,report,120,urn:epcglobal:cbv:bizstep:departing,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-170,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-173,report,120,urn:epcglobal:cbv:bizstep:storing,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-174,report,120,urn:epcglobal:cbv:bizstep:receiving,flag,,I4,charged_mid_shift,
E3,2,urban,S0,vigil-2026-e3-S0-174,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,charged_mid_shift,
E3,2,urban,S0,vigil-2026-e3-S0-188,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-189,report,120,urn:epcglobal:cbv:bizstep:receiving,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-192,report,120,urn:epcglobal:cbv:bizstep:receiving,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-203,report,120,urn:epcglobal:cbv:bizstep:receiving,flag,,I4,,
E3,2,urban,S0,vigil-2026-e3-S0-219,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I10,address_correction,
E3,2,urban,S0,vigil-2026-e3-S0-237,report,120,urn:epcglobal:cbv:bizstep:storing,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-11,report,120,urn:epcglobal:cbv:bizstep:arriving,freeze,H1,H1,missed_scan charged_mid_shift,linehaul_departure
E3,2,urban,S6,vigil-2026-e3-S6-15,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-38,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-40,report,120,urn:epcglobal:cbv:bizstep:storing,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-40,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-41,report,120,urn:epcglobal:cbv:bizstep:receiving,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-45,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-46,report,120,urn:epcglobal:cbv:bizstep:departing,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-46,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-51,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-52,report,120,urn:epcglobal:cbv:bizstep:storing,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-63,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-70,report,120,urn:epcglobal:cbv:bizstep:transporting,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-91,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-102,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-103,report,120,urn:epcglobal:cbv:bizstep:receiving,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-111,report,120,urn:epcglobal:cbv:bizstep:arriving,freeze,H1,H1,missed_scan,linehaul_departure
E3,2,urban,S6,vigil-2026-e3-S6-130,report,120,urn:epcglobal:cbv:bizstep:arriving,flag,,I4,charged_mid_shift,
E3,2,urban,S6,vigil-2026-e3-S6-137,report,120,urn:epcglobal:cbv:bizstep:transporting,flag,,I4,missed_scan,sortation
E3,2,urban,S6,vigil-2026-e3-S6-151,report,120,urn:epcglobal:cbv:bizstep:delivering,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-177,report,120,urn:epcglobal:cbv:bizstep:transporting,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-184,report,120,urn:epcglobal:cbv:bizstep:departing,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-193,report,120,urn:epcglobal:cbv:bizstep:storing,flag,,I4,,
E3,2,urban,S6,vigil-2026-e3-S6-219,report,120,urn:epcglobal:cbv:bizstep:arriving,freeze,H1,H1,missed_scan,linehaul_departure
E3,2,urban,S6,vigil-2026-e3-S6-242,report,120,urn:epcglobal:cbv:bizstep:transporting,flag,,I4,,
E3,3,adverse,S0,vigil-2026-e3-S0-6,report,120,urn:epcglobal:cbv:bizstep:transporting,flag,,I4,redelivery,
E3,3,adverse,S0,vigil-2026-e3-S0-12,report,120,urn:epcglobal:cbv:bizstep:transporting,flag,,I4,redelivery,
