experiment,provider,model,case,meaning,scenario,seed,attempt,samples_in_cell,event_id,temperature,latency_ms,raw_shape,model_decision,schema_invalid,provider_error,raw_response,deterministic_verdict
E4a,gemini,gemini-3.5-flash-lite,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,1,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,935,strict_json,accept,0,,"{""decision"": ""accept""}",accept
E4a,gemini,gemini-3.5-flash-lite,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,2,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,902,strict_json,accept,0,,"{""decision"": ""accept""}",accept
E4a,gemini,gemini-3.5-flash-lite,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,3,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,872,strict_json,accept,0,,"{
  ""decision"": ""accept""
}",accept
E4a,gemini,gemini-3.5-flash-lite,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,4,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,809,strict_json,accept,0,,"{
  ""decision"": ""accept""
}",accept
E4a,gemini,gemini-3.5-flash-lite,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,5,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,769,strict_json,accept,0,,"{""decision"": ""accept""}",accept
E4a,anthropic,claude-haiku-4-5-20251001,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,1,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,4217,prose_wrapped_json,accept,0,,"```json
{
  ""decision"": ""accept""
}
```

**Reasoning:**

- **Location verification**: GPS point (3.034073, 101.616452) is within 16m accuracy of declared recipient location (3.034201, 101.616582), indicating courier is at the correct delivery address
- **Network corroboration**: Cell tower and WiFi AP locations all cluster around Puchong, Selangor, consistent with GPS coordinates
- **Motion profile**: Low acceleration variance (mean 0.28 m/s², max 1.68 m/s²) and zero speed indicate stationary delivery, not suspicious movement
- **Device integrity**: Attestation passed with no root detection or app tampering
- **Proof of delivery**: OTP verified, photo and signature captured with valid timestamps (photo at 10:13:18, event at 10:15:00 - reasonable 2-minute gap)
- **Business context**: Disposition shows ""retail_sold"", bizStep shows ""delivering"", parcel is known, and all timestamps are coherent
- **No anomalies**: Battery adequate (90%), no mock location provider detected, no integrity violations

All evidence supports a legitimate delivery completion at the correct location.",accept
E4a,anthropic,claude-haiku-4-5-20251001,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,2,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,4083,prose_wrapped_json,accept,0,,"```json
{
  ""decision"": ""accept""
}
```

**Reasoning:**

- **Location verification**: GPS point (3.034073, 101.616452) is within 16m accuracy of declared recipient location (3.034201, 101.616582), indicating courier is at the correct delivery address
- **Network corroboration**: Cell tower and WiFi AP locations all cluster around Puchong, Selangor, consistent with GPS coordinates
- **Motion profile**: Low acceleration variance (mean 0.28 m/s², max 1.68 m/s²) and zero speed indicate stationary delivery, not suspicious movement
- **Device integrity**: Attestation passed with no root detection or app tampering
- **Proof of delivery**: OTP verified, photo and signature captured with valid timestamps (photo at 10:13:18, event at 10:15:00 - reasonable 2-minute gap)
- **Business context**: Disposition shows ""retail_sold"", bizStep shows ""delivering"", parcel is known, and all timestamps are coherent
- **No anomalies**: Battery adequate (90%), no mock location provider detected, no integrity violations

All evidence supports a legitimate delivery completion at the correct location.",accept
E4a,anthropic,claude-haiku-4-5-20251001,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,3,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,4044,prose_wrapped_json,accept,0,,"```json
{
  ""decision"": ""accept""
}
```

**Reasoning:**

- **Location verification**: GPS point (3.034073, 101.616452) is within 16m accuracy of declared recipient location (3.034201, 101.616582), indicating courier is at the correct delivery address
- **Network corroboration**: Cell tower and WiFi AP locations all cluster around Puchong, Selangor, consistent with GPS coordinates
- **Motion profile**: Low acceleration variance (mean 0.28 m/s², max 1.68 m/s²) and zero speed indicate stationary delivery, not suspicious movement
- **Device integrity**: Attestation passed with no root detection or app tampering
- **Proof of delivery**: OTP verified, photo and signature captured with valid timestamps (photo at 10:13:18, event at 10:15:00 - reasonable 2-minute gap)
- **Business context**: Disposition shows ""retail_sold"", bizStep shows ""delivering"", parcel is known, and all timestamps are coherent
- **No anomalies**: Battery adequate (90%), no mock location provider detected, no integrity violations

All evidence supports a legitimate delivery completion at the correct location.",accept
E4a,anthropic,claude-haiku-4-5-20251001,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,4,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,4074,prose_wrapped_json,accept,0,,"```json
{
  ""decision"": ""accept""
}
```

**Reasoning:**

- **Location verification**: GPS point (3.034073, 101.616452) is within 16m accuracy of declared recipient location (3.034201, 101.616582), indicating courier is at the correct delivery address
- **Network corroboration**: Cell tower and WiFi AP locations all cluster around Puchong, Selangor, consistent with GPS coordinates
- **Motion profile**: Low acceleration variance (mean 0.28 m/s², max 1.68 m/s²) and zero speed indicate stationary delivery, not suspicious movement
- **Device integrity**: Attestation passed with no root detection or app tampering
- **Proof of delivery**: OTP verified, photo and signature captured with valid timestamps (photo at 10:13:18, event at 10:15:00 - reasonable 2-minute gap)
- **Business context**: Disposition shows ""retail_sold"", bizStep shows ""delivering"", parcel is known, and all timestamps are coherent
- **No anomalies**: Battery adequate (90%), no mock location provider detected, no integrity violations

All evidence supports a legitimate delivery completion at the correct location.",accept
E4a,anthropic,claude-haiku-4-5-20251001,clean,ordinary delivery with agreeing signals,S0,vigil-2026-e4a-clean,5,5,c08ddfe9-e5f6-4050-857b-7fb9a6848039,0,4064,prose_wrapped_json,accept,0,,"```json
{
  ""decision"": ""accept""
}
```

**Reasoning:**

- **Location verification**: GPS point (3.034073, 101.616452) is within 16m accuracy of declared recipient location (3.034201, 101.616582), indicating courier is at the correct delivery address
- **Network corroboration**: Cell tower and WiFi AP locations all cluster around Puchong, Selangor, consistent with GPS coordinates
- **Motion profile**: Low acceleration variance (mean 0.28 m/s², max 1.68 m/s²) and zero speed indicate stationary delivery, not suspicious movement
- **Device integrity**: Attestation passed with no root detection or app tampering
- **Proof of delivery**: OTP verified, photo and signature captured with valid timestamps (photo at 10:13:18, event at 10:15:00 - reasonable 2-minute gap)
- **Business context**: Disposition shows ""retail_sold"", bizStep shows ""delivering"", parcel is known, and all timestamps are coherent
- **No anomalies**: Battery adequate (90%), no mock location provider detected, no integrity violations

All evidence supports a legitimate delivery completion at the correct location.",accept
