experiment,noise_level,noise_name,arm,speed_limit_kmh,seed,half,seeds_in_cell,claimed_km,implied_speed_kmh,i3_fired,alerted
E6,0,pristine,attack,20,vigil-2026-e6a-20-0,report,16,40,80,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-1,report,16,45,90,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-2,report,16,50,100,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-3,report,16,55,110,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-6,report,16,60,120,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-7,report,16,65,130,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-10,report,16,70,140,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-13,report,16,75,150,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-14,report,16,80,160,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-17,report,16,85,170,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-18,report,16,90,180,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-21,report,16,95,190,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-22,report,16,100,200,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-25,report,16,105,210,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-26,report,16,110,220,1,1
E6,0,pristine,attack,20,vigil-2026-e6a-20-31,report,16,115,230,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-0,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-3,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-4,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-7,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-8,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-9,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-10,report,16,,,0,0
E6,0,pristine,clean,20,vigil-2026-e6c-20-13,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-14,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-17,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-18,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-19,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-20,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-21,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-24,report,16,,,1,1
E6,0,pristine,clean,20,vigil-2026-e6c-20-25,report,16,,,1,1
E6,0,pristine,attack,30,vigil-2026-e6a-30-0,report,16,40,80,1,1
E6,0,pristine,attack,30,vigil-2026-e6a-30-3,report,16,45,90,1,1
E6,0,pristine,attack,30,vigil-2026-e6a-30-4,report,16,50,100,1,1
E6,0,pristine,attack,30,vigil-2026-e6a-30-7,report,16,55,110,1,1
E6,0,pristine,attack,30,vigil-2026-e6a-30-8,report,16,60,120,1,1
E6,0,pristine,attack,30,vigil-2026-e6a-30-10,report,16,65,130,1,1
